epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3803.81,1.61463,1.78477,1.83497,0.92057,0.8279,0.90981,0.52222,1.35688,1.04894,1.69286,0.00769,0.00769,0.00769
72,3857.1,1.60811,1.78328,1.82832,0.91749,0.83333,0.90709,0.53805,1.35272,1.03489,1.68176,0.007657,0.007657,0.007657
73,3910.45,1.61121,1.77618,1.83055,0.89857,0.84372,0.90182,0.53699,1.37698,1.03625,1.69938,0.007624,0.007624,0.007624
74,3964.06,1.60835,1.77813,1.82315,0.90835,0.83333,0.90635,0.53426,1.37892,1.0518,1.70519,0.007591,0.007591,0.007591
75,4017.22,1.60319,1.77336,1.81647,0.881,0.84524,0.90383,0.53576,1.3755,1.0475,1.70475,0.007558,0.007558,0.007558
76,4070.76,1.60415,1.76752,1.82169,0.92414,0.79762,0.90559,0.54775,1.36778,1.04264,1.70302,0.007525,0.007525,0.007525
77,4124.37,1.60589,1.77007,1.82302,0.92207,0.84517,0.90685,0.54684,1.37065,1.05525,1.69574,0.007492,0.007492,0.007492
78,4177.89,1.60395,1.7631,1.81625,0.9197,0.84524,0.90785,0.53885,1.36605,1.05647,1.68492,0.007459,0.007459,0.007459
79,4231.03,1.59497,1.75748,1.81522,0.90235,0.83333,0.89687,0.53811,1.35469,1.0982,1.67662,0.007426,0.007426,0.007426
80,4284.36,1.59666,1.75016,1.81388,0.89814,0.83979,0.8987,0.54486,1.35671,1.09441,1.67634,0.007393,0.007393,0.007393
81,4337.8,1.59447,1.75322,1.81377,0.88707,0.84524,0.89844,0.54575,1.3431,1.0748,1.67244,0.00736,0.00736,0.00736
82,4391.27,1.5962,1.74643,1.81711,0.88394,0.84524,0.893,0.53884,1.34162,1.07739,1.66654,0.007327,0.007327,0.007327
83,4445,1.5924,1.74817,1.80938,0.88577,0.83082,0.89065,0.5357,1.33708,1.05327,1.67219,0.007294,0.007294,0.007294
84,4498.4,1.59012,1.73309,1.80494,0.87763,0.82143,0.89233,0.53478,1.3454,1.04033,1.68176,0.007261,0.007261,0.007261
85,4552.12,1.59195,1.74225,1.8104,0.8748,0.83183,0.895,0.54302,1.34873,1.03869,1.68794,0.007228,0.007228,0.007228
86,4605.81,1.59272,1.73005,1.80761,0.87342,0.83333,0.89468,0.53971,1.36122,1.02234,1.69956,0.007195,0.007195,0.007195
87,4659.31,1.59274,1.73112,1.80863,0.89378,0.83333,0.90549,0.53885,1.36558,1.02329,1.69977,0.007162,0.007162,0.007162
88,4712.73,1.59088,1.74218,1.79879,0.92039,0.82579,0.90585,0.53917,1.35999,1.01732,1.69506,0.007129,0.007129,0.007129
89,4766.25,1.59385,1.7238,1.80614,0.90808,0.8233,0.90562,0.53751,1.35431,1.01289,1.68568,0.007096,0.007096,0.007096
90,4819.73,1.57985,1.72353,1.7895,0.90938,0.82143,0.9055,0.53512,1.35807,1.01296,1.68307,0.007063,0.007063,0.007063
91,4872.7,1.59003,1.72396,1.79901,0.90312,0.82143,0.90469,0.53851,1.3547,1.01237,1.68385,0.00703,0.00703,0.00703
92,4926.28,1.58692,1.71981,1.79848,0.89847,0.84524,0.90307,0.53472,1.3562,1.01607,1.68912,0.006997,0.006997,0.006997
93,4979.65,1.57805,1.70845,1.79271,0.90043,0.84524,0.90373,0.54365,1.35312,1.01675,1.68888,0.006964,0.006964,0.006964
94,5033.24,1.58088,1.71674,1.7954,0.90029,0.83333,0.90382,0.54778,1.35016,1.00328,1.6869,0.006931,0.006931,0.006931
95,5086.6,1.58195,1.71387,1.79188,0.90147,0.83333,0.90658,0.54788,1.3575,0.99851,1.6888,0.006898,0.006898,0.006898
96,5140.22,1.57776,1.70393,1.79441,0.92074,0.82984,0.90716,0.54995,1.35999,0.99575,1.68866,0.006865,0.006865,0.006865
97,5193.76,1.57649,1.70693,1.79117,0.92375,0.83333,0.90854,0.54911,1.36129,0.98926,1.68909,0.006832,0.006832,0.006832
98,5247.09,1.57425,1.7127,1.78449,0.92798,0.83333,0.91182,0.55088,1.3627,0.99021,1.69022,0.006799,0.006799,0.006799
99,5300.79,1.5752,1.70643,1.78655,0.93476,0.83333,0.91297,0.54935,1.36352,0.98576,1.69072,0.006766,0.006766,0.006766
100,5354.68,1.57153,1.69693,1.7826,0.94032,0.83333,0.91391,0.54496,1.36553,0.98021,1.69047,0.006733,0.006733,0.006733
101,5408.35,1.5669,1.70633,1.78552,0.94338,0.83333,0.91482,0.55084,1.36488,0.97996,1.68849,0.0067,0.0067,0.0067
102,5462.04,1.57431,1.70099,1.78039,0.94411,0.83333,0.91602,0.55385,1.36364,0.98105,1.68706,0.006667,0.006667,0.006667
103,5515.48,1.56595,1.68706,1.78235,0.94085,0.83333,0.91513,0.54882,1.36985,0.97916,1.69331,0.006634,0.006634,0.006634
104,5569.03,1.57,1.69015,1.78176,0.94172,0.83333,0.91558,0.54932,1.3683,0.98069,1.69061,0.006601,0.006601,0.006601
105,5622.82,1.57253,1.68416,1.78061,0.93549,0.83333,0.91684,0.54343,1.36616,0.9805,1.68644,0.006568,0.006568,0.006568
106,5675.72,1.56987,1.67874,1.78252,0.93325,0.83333,0.91596,0.54505,1.36739,0.98353,1.68812,0.006535,0.006535,0.006535
107,5729.28,1.56386,1.67474,1.77499,0.92923,0.83333,0.91618,0.54494,1.36935,0.98212,1.69046,0.006502,0.006502,0.006502
108,5782.65,1.57112,1.67849,1.77954,0.92836,0.83333,0.91667,0.54456,1.36882,0.98152,1.68915,0.006469,0.006469,0.006469
109,5836.04,1.56563,1.67127,1.77632,0.9275,0.83333,0.91729,0.54624,1.36879,0.97832,1.68787,0.006436,0.006436,0.006436
110,5889.52,1.558,1.65793,1.7663,0.91817,0.83333,0.91781,0.54889,1.36997,0.97247,1.68686,0.006403,0.006403,0.006403
111,5943.08,1.56369,1.67089,1.77465,0.9171,0.83333,0.91784,0.55316,1.37155,0.96772,1.68812,0.00637,0.00637,0.00637
112,5996.52,1.55772,1.65749,1.76907,0.92041,0.83333,0.91844,0.54948,1.37182,0.96013,1.68751,0.006337,0.006337,0.006337
113,6050.05,1.5629,1.67141,1.7778,0.92626,0.83333,0.91726,0.54855,1.37176,0.95518,1.6857,0.006304,0.006304,0.006304
114,6103.73,1.5531,1.65408,1.76042,0.92213,0.83333,0.91694,0.5512,1.37408,0.95224,1.68504,0.006271,0.006271,0.006271
115,6157.23,1.55714,1.66191,1.76587,0.92451,0.83333,0.91783,0.55144,1.37484,0.95097,1.68575,0.006238,0.006238,0.006238
116,6210.57,1.55391,1.65675,1.76913,0.92379,0.83333,0.9166,0.54838,1.37225,0.95016,1.68425,0.006205,0.006205,0.006205
117,6263.67,1.55427,1.64929,1.76358,0.92415,0.83333,0.917,0.55163,1.37355,0.9484,1.68565,0.006172,0.006172,0.006172
118,6317.34,1.56027,1.65545,1.76694,0.92032,0.83333,0.91653,0.55222,1.37239,0.95116,1.68252,0.006139,0.006139,0.006139
119,6370.69,1.55662,1.65248,1.76545,0.91915,0.83333,0.91748,0.55138,1.36998,0.95147,1.68132,0.006106,0.006106,0.006106
120,6424.03,1.54885,1.64047,1.75857,0.91803,0.83333,0.91778,0.54828,1.36906,0.94963,1.68048,0.006073,0.006073,0.006073
121,6477.17,1.55659,1.6389,1.76551,0.91869,0.83333,0.91806,0.55042,1.37242,0.94393,1.68488,0.00604,0.00604,0.00604
122,6530.76,1.54949,1.62496,1.75614,0.91848,0.83333,0.91807,0.55186,1.37316,0.94082,1.68364,0.006007,0.006007,0.006007
123,6584.21,1.55435,1.62742,1.75636,0.91788,0.83333,0.91859,0.54704,1.37287,0.93826,1.6831,0.005974,0.005974,0.005974
124,6637.44,1.54658,1.6288,1.75608,0.91774,0.83333,0.9184,0.54735,1.37239,0.93726,1.68311,0.005941,0.005941,0.005941
125,6690.77,1.55165,1.61545,1.75287,0.91921,0.83333,0.91714,0.5482,1.37413,0.93511,1.68502,0.005908,0.005908,0.005908
126,6743.94,1.54435,1.61925,1.75503,0.91891,0.83333,0.91709,0.54923,1.37097,0.9334,1.68221,0.005875,0.005875,0.005875
127,6797.46,1.54273,1.63344,1.75924,0.91843,0.83333,0.91731,0.54967,1.37172,0.93425,1.68307,0.005842,0.005842,0.005842
128,6851.15,1.54253,1.62532,1.75231,0.91818,0.83333,0.91727,0.54945,1.37017,0.93167,1.68178,0.005809,0.005809,0.005809
129,6904.48,1.53541,1.60591,1.74606,0.91859,0.83333,0.91676,0.55217,1.37025,0.93137,1.68382,0.005776,0.005776,0.005776
130,6958.07,1.53407,1.61092,1.74783,0.91782,0.83333,0.91693,0.55105,1.36974,0.92811,1.68395,0.005743,0.005743,0.005743
131,7011.39,1.5421,1.61209,1.75173,0.9167,0.83333,0.91731,0.55063,1.36964,0.92802,1.68431,0.00571,0.00571,0.00571
132,7064.97,1.54264,1.60774,1.7476,0.91724,0.83333,0.91739,0.55032,1.36875,0.92653,1.68409,0.005677,0.005677,0.005677
133,7118.52,1.54304,1.61619,1.75051,0.91798,0.83333,0.91781,0.55006,1.36822,0.92557,1.68428,0.005644,0.005644,0.005644
134,7171.74,1.53696,1.60519,1.74613,0.91845,0.83333,0.91791,0.54744,1.36922,0.92316,1.68543,0.005611,0.005611,0.005611
135,7224.85,1.53727,1.6038,1.7505,0.91823,0.83333,0.91818,0.54972,1.37027,0.92241,1.68558,0.005578,0.005578,0.005578
136,7278.45,1.54067,1.6021,1.74673,0.91757,0.83333,0.91726,0.55057,1.37053,0.9206,1.68556,0.005545,0.005545,0.005545
137,7332.07,1.53108,1.60036,1.74778,0.91723,0.83333,0.91764,0.54679,1.37124,0.91949,1.68818,0.005512,0.005512,0.005512
138,7385.57,1.53198,1.58571,1.74134,0.91717,0.83333,0.91749,0.54888,1.37208,0.91815,1.68972,0.005479,0.005479,0.005479
139,7438.49,1.53305,1.59669,1.74445,0.91699,0.83333,0.91818,0.54701,1.3721,0.91686,1.6897,0.005446,0.005446,0.005446
140,7492.18,1.52468,1.5781,1.73256,0.91697,0.83333,0.91797,0.54672,1.37076,0.9123,1.68924,0.005413,0.005413,0.005413
141,7546.15,1.52999,1.58882,1.74143,0.91708,0.83333,0.91793,0.54732,1.37212,0.90926,1.69019,0.00538,0.00538,0.00538
142,7599.65,1.53675,1.58356,1.74177,0.91689,0.83333,0.91774,0.54768,1.37208,0.90814,1.68875,0.005347,0.005347,0.005347
143,7652.78,1.52332,1.57689,1.73194,0.91678,0.83333,0.91769,0.54749,1.37176,0.90587,1.68849,0.005314,0.005314,0.005314
144,7705.89,1.53573,1.58573,1.7378,0.91668,0.83333,0.91822,0.54799,1.37038,0.90296,1.68795,0.005281,0.005281,0.005281
145,7759.23,1.52812,1.57171,1.73323,0.91674,0.83333,0.91827,0.54768,1.37113,0.90034,1.68802,0.005248,0.005248,0.005248
146,7813.14,1.52205,1.56913,1.7252,0.91658,0.83333,0.91831,0.54746,1.37077,0.89958,1.68793,0.005215,0.005215,0.005215
147,7866.31,1.52341,1.58128,1.73613,0.91664,0.83333,0.91801,0.5472,1.37053,0.89735,1.68746,0.005182,0.005182,0.005182
148,7919.43,1.52592,1.57144,1.73279,0.91679,0.83333,0.9181,0.54727,1.37099,0.89525,1.68693,0.005149,0.005149,0.005149
149,7972.76,1.52427,1.56837,1.73352,0.90369,0.82143,0.90555,0.54521,1.37085,0.893,1.68623,0.005116,0.005116,0.005116
150,8026.38,1.51871,1.56048,1.72835,0.91751,0.83333,0.91902,0.54695,1.37093,0.89123,1.68654,0.005083,0.005083,0.005083
151,8079.79,1.52201,1.56773,1.73406,0.91738,0.83333,0.91917,0.54611,1.37134,0.88887,1.68578,0.00505,0.00505,0.00505
152,8133.46,1.51921,1.55798,1.7262,0.91859,0.83333,0.91905,0.54665,1.37045,0.88857,1.68454,0.005017,0.005017,0.005017
153,8186.93,1.51851,1.5669,1.73199,0.91961,0.83333,0.91943,0.54622,1.3707,0.88752,1.68485,0.004984,0.004984,0.004984
154,8240.76,1.51985,1.55763,1.72798,0.92057,0.83333,0.91971,0.54686,1.37093,0.88535,1.68483,0.004951,0.004951,0.004951
155,8294.22,1.51511,1.54723,1.72092,0.92072,0.82952,0.92003,0.54643,1.37068,0.88282,1.68396,0.004918,0.004918,0.004918
156,8347.63,1.51651,1.55083,1.71983,0.92036,0.82546,0.91995,0.54755,1.37073,0.88066,1.68364,0.004885,0.004885,0.004885
157,8401.03,1.51475,1.55454,1.7198,0.9203,0.82477,0.92024,0.54801,1.37021,0.88091,1.68058,0.004852,0.004852,0.004852
158,8454.67,1.51899,1.55618,1.72957,0.92012,0.82276,0.92044,0.54723,1.37082,0.87953,1.68058,0.004819,0.004819,0.004819
159,8508.25,1.51513,1.55891,1.72219,0.92018,0.8235,0.92036,0.54975,1.37175,0.87887,1.68086,0.004786,0.004786,0.004786
160,8561.7,1.51164,1.53783,1.71704,0.92144,0.82143,0.92064,0.54852,1.37405,0.87513,1.68153,0.004753,0.004753,0.004753
161,8615,1.50514,1.52879,1.70925,0.92033,0.82514,0.92079,0.55067,1.37462,0.87256,1.68092,0.00472,0.00472,0.00472
162,8668.4,1.51359,1.54136,1.72063,0.92027,0.82446,0.92102,0.55237,1.37361,0.87126,1.67969,0.004687,0.004687,0.004687
163,8721.72,1.50579,1.53518,1.70953,0.92017,0.8233,0.92086,0.55472,1.37266,0.87018,1.67743,0.004654,0.004654,0.004654
164,8775.16,1.50186,1.52867,1.70718,0.92019,0.82352,0.92096,0.5532,1.37354,0.86823,1.67974,0.004621,0.004621,0.004621
165,8828.63,1.50315,1.52345,1.70472,0.92033,0.82519,0.92105,0.55361,1.3731,0.86531,1.67935,0.004588,0.004588,0.004588
166,8881.99,1.50706,1.5312,1.70512,0.92035,0.82541,0.92138,0.55259,1.37165,0.86346,1.67616,0.004555,0.004555,0.004555
